cases,deaths,year,state,population,abbreviation,cases_per_10k,deaths_per_10k
571676,9354,2021,Arizona,7174064,AZ,796.864928999797,13.038634726425634
238888,3836,2021,Arkansas,3011873,AR,793.1542930262996,12.736260791872699
2511923,27486,2021,California,39346023,CA,638.4185258062804,6.985712380638826
348483,5058,2021,Colorado,5684926,CO,612.9947865636245,8.897213437782655
196968,6192,2021,Connecticut,3570549,CT,551.6462594407751,17.341870955979036
61100,947,2021,Delaware,967679,DE,631.40772921599,9.786303102578438
30166,801,2021,District of Columbia,701974,DC,429.73101567864336,11.410679027998189
1392115,22187,2021,Florida,21216924,FL,656.1342256775771,10.457218020859196
682749,10725,2021,Georgia,10516579,GA,649.2120679167626,10.198183268532476
22199,287,2021,Hawaii,1420074,HI,156.32283951399717,2.021021439727789
145134,1474,2021,Idaho,1754367,ID,827.2727428183499,8.401890824439812
994511,18569,2021,Illinois,12716164,IL,782.0841253698836,14.602674202691944
536084,8663,2021,Indiana,6696893,IN,800.4965884926039,12.935849505136188
288298,3999,2021,Iowa,3150011,IA,915.2285499955397,12.695193762815432
234700,2897,2021,Kansas,2912619,KS,805.803986034562,9.946374723230193
284545,3093,2021,Kentucky,4461952,KY,637.7141663558909,6.93194368742649
326648,7635,2021,Louisiana,4664616,LA,700.2677176427812,16.367906811621793
26565,369,2021,Maine,1340825,ME,198.12428915033652,2.752036992150355
289927,6082,2021,Maryland,6037624,MD,480.20048946406735,10.073499111571042
397202,12734,2021,Massachusetts,6873003,MA,577.9162325405648,18.527563570101744
544276,13598,2021,Michigan,9973907,MI,545.6998947353329,13.633574084859625
425320,5520,2021,Minnesota,5600166,MN,759.477486917352,9.85685067192651
225444,4975,2021,Mississippi,2981835,MS,756.0579307708174,16.684357115668707
432830,6123,2021,Missouri,6124160,MO,706.7581513219773,9.998105862681575
83529,1006,2021,Montana,1061705,MT,786.7439637187354,9.47532506675583
172067,1747,2021,Nebraska,1923826,NE,894.4000133068167,9.080862822313453
235710,3246,2021,Nevada,3030281,NV,777.8486549597216,10.711877875352153
47992,792,2021,New Hampshire,1355244,NH,354.1207339785308,5.843966104996591
551419,19382,2021,New Jersey,8885418,NJ,620.5886993723874,21.81326753564098
148499,2596,2021,New Mexico,2097021,NM,708.1426461632955,12.379465918557802
1048538,38315,2021,New York,19514849,NY,537.302645795517,19.63376708679632
578309,7080,2021,North Carolina,10386227,NC,556.8037363327414,6.816719873347655
93501,1336,2021,North Dakota,760394,ND,1229.6388451250273,17.56983879409885
735003,9247,2021,Ohio,11675275,OH,629.538062272623,7.92015605628133
308268,2571,2021,Oklahoma,3949342,OK,780.5553431432376,6.50994520099804
119508,1550,2021,Oregon,4176346,OR,286.1544517623779,3.711378319708185
679760,16583,2021,Pennsylvania,12794885,PA,531.274802391737,12.960647946425466
93852,1870,2021,Rhode Island,1057798,RI,887.2393405924382,17.67823346234347
328073,5498,2021,South Carolina,5091517,SC,644.3521645906318,10.798353418048098
101076,1513,2021,South Dakota,879336,SD,1149.4582275717132,17.206164651509777
602397,7200,2021,Tennessee,6772268,TN,889.5055541216029,10.631593433691638
1862478,28949,2021,Texas,28635442,TX,650.4100757376121,10.10949996860534
288951,1314,2021,Utah,3151239,UT,916.9440972265194,4.169788454636414
8038,149,2021,Vermont,624340,VT,128.74395361501746,2.386520165294551
371913,5191,2021,Virginia,8509358,VA,437.06352465133097,6.100342705054835
263713,3611,2021,Washington,7512465,WA,351.03391496665876,4.806677967884044
93162,1442,2021,West Virginia,1807426,WV,515.4401895291979,7.9781966177315145
531890,5370,2021,Wisconsin,5806975,WI,915.9502150431161,9.247499773978706
45569,464,2021,Wyoming,581348,WY,783.8506367958606,7.981450009288757
384184,4994,2021,Alabama,4893186,AL,785.1408060106442,10.206029364099383
48636,211,2021,Alaska,736990,AK,659.9275431145605,2.8629967842168824
578623,9467,2021,Arizona,7174064,AZ,806.5484222053218,13.196146563509888
242593,3901,2021,Arkansas,3011873,AR,805.455608520014,12.952073344394003
2548830,28040,2021,California,39346023,CA,647.7986352013264,7.1265144129052125
350560,5080,2021,Colorado,5684926,CO,616.6483081749876,8.93591227044996
199454,6230,2021,Connecticut,3570549,CT,558.6087741689023,17.448297166626197
61729,947,2021,Delaware,967679,DE,637.9078186051366,9.786303102578438
30482,806,2021,District of Columbia,701974,DC,434.2326069056689,11.481906737286565
1409898,22316,2021,Florida,21216924,FL,664.5157422442575,10.518018540293587
690137,10814,2021,Georgia,10516579,GA,656.2371660974543,10.282811549269017
22325,297,2021,Hawaii,1420074,HI,157.2101172192435,2.091440305223531
146322,1495,2021,Idaho,1754367,ID,834.0444160201371,8.5215921184108
1001955,18738,2021,Illinois,12716164,IL,787.9380920220909,14.73557591739144
542235,8743,2021,Indiana,6696893,IN,809.6814448132889,13.055307886806615
290776,4060,2021,Iowa,3150011,IA,923.0951891914028,12.88884388022772
239988,3027,2021,Kansas,2912619,KS,823.9594674071686,10.392708418093818
289992,3135,2021,Kentucky,4461952,KY,649.9218279353969,7.026072893657306
333524,7681,2021,Louisiana,4664616,LA,715.0084808695937,16.466521574337524
27090,372,2021,Maine,1340825,ME,202.03978893591633,2.7744112766393823
293079,6132,2021,Maryland,6037624,MD,485.4210861756214,10.156313145701025
404053,12836,2021,Massachusetts,6873003,MA,587.8842188778326,18.675970314577192
548875,13657,2021,Michigan,9973907,MI,550.3109262999945,13.69272843630886
427655,5596,2021,Minnesota,5600166,MN,763.6470061780312,9.992560934800862
228235,5013,2021,Mississippi,2981835,MS,765.417938953698,16.811795421275825
435687,6167,2021,Missouri,6124160,MO,711.4232809070959,10.069952450621798
84155,1015,2021,Montana,1061705,MT,792.6401401519255,9.56009437649818
173625,1756,2021,Nebraska,1923826,NE,902.4984588003281,9.127644599875456
237775,3301,2021,Nevada,3030281,NV,784.6632045014967,10.893379194866746
48838,816,2021,New Hampshire,1355244,NH,360.363152317959,6.021055986966185
