state,cases,deaths,year
Rhode Island,103386,1996,2021
South Carolina,371180,5934,2021
South Dakota,104512,1614,2021
Tennessee,658431,8155,2021
Texas,2070044,31819,2021
Utah,317559,1461,2021
Vermont,9573,162,2021
Virgin Islands,2166,24,2021
Virginia,417839,5626,2021
Washington,288127,3949,2021
West Virginia,105219,1702,2021
Wisconsin,561160,5729,2021
Wyoming,48701,522,2021
Alabama,417528,6030,2021
Alaska,51163,220,2021
Arizona,662597,11060,2021
Arkansas,267635,4263,2021
California,2937860,32947,2021
Colorado,373647,5417,2021
Connecticut,223422,6594,2021
Delaware,68727,1002,2021
District of Columbia,33140,842,2021
Florida,1548059,23798,2021
Georgia,776485,11757,2021
Guam,8443,126,2021
Hawaii,24032,315,2021
Idaho,154785,1606,2021
Illinois,1062121,19876,2021
Indiana,586206,9246,2021
Iowa,303927,4257,2021
Kansas,259196,3514,2021
Kentucky,324505,3395,2021
Louisiana,364853,8080,2021
Maine,32781,477,2021
Maryland,320923,6494,2021
Massachusetts,459927,13509,2021
Michigan,577657,14539,2021
Minnesota,443630,5918,2021
Mississippi,248189,5411,2021
Missouri,470284,6619,2021
Montana,88725,1086,2021
Nebraska,181895,1904,2021
Nevada,258438,3704,2021
New Hampshire,55500,908,2021
New Jersey,616086,20320,2021
New Mexico,161805,2876,2021
New York,1213179,40203,2021
North Carolina,659707,7996,2021
North Dakota,95621,1395,2021
Northern Mariana Islands,128,2,2021
Ohio,814442,10057,2021
Oklahoma,348044,2925,2021
Oregon,131296,1763,2021
Pennsylvania,760552,18978,2021
Puerto Rico,119569,1692,2021
Rhode Island,104443,2005,2021
South Carolina,375967,6037,2021
South Dakota,104937,1629,2021
Tennessee,663486,8233,2021
Texas,2094606,32212,2021
Utah,320175,1475,2021
Vermont,9734,163,2021
Virgin Islands,2166,24,2021
Virginia,422634,5656,2021
Washington,290288,3972,2021
West Virginia,106649,1733,2021
Wisconsin,563866,5771,2021
Wyoming,48909,522,2021
Alabama,420681,6119,2021
Alaska,51347,220,2021
Arizona,670234,11248,2021
Arkansas,270178,4293,2021
California,2975419,33393,2021
Colorado,375463,5440,2021
Connecticut,223422,6594,2021
Delaware,69372,1016,2021
District of Columbia,33537,847,2021
Florida,1560178,24003,2021
Georgia,785048,11900,2021
Guam,8450,127,2021
Hawaii,24188,317,2021
Idaho,155357,1607,2021
Illinois,1067230,20021,2021
Indiana,590093,9287,2021
Iowa,304748,4321,2021
Kansas,259226,3502,2021
Kentucky,327538,3420,2021
Louisiana,364853,8080,2021
Maine,33219,507,2021
Maryland,324203,6541,2021
Massachusetts,465726,13583,2021
Michigan,579669,14658,2021
Minnesota,445115,5955,2021
Mississippi,250869,5481,2021
Missouri,472057,6644,2021
Montana,89056,1088,2021
Nebraska,181895,1904,2021
Nevada,260222,3764,2021
New Hampshire,55945,927,2021
New Jersey,622085,20414,2021
New Mexico,162893,2912,2021
New York,1229124,40376,2021
North Carolina,668165,8060,2021
North Dakota,95736,1403,2021
Northern Mariana Islands,128,2,2021
Ohio,821507,10135,2021
Oklahoma,351665,2952,2021
Oregon,132412,1800,2021
Pennsylvania,767074,19188,2021
Puerto Rico,120138,1703,2021
Rhode Island,104443,2005,2021
South Carolina,382422,6108,2021
South Dakota,105278,1633,2021
Tennessee,668142,8276,2021
Texas,2112925,32581,2021
Utah,322252,1486,2021
Vermont,9915,163,2021
Virgin Islands,2166,24,2021
Virginia,429391,5706,2021
Washington,290896,3971,2021
West Virginia,108124,1761,2021
Wisconsin,566275,5906,2021
Wyoming,49068,522,2021
Alabama,422598,6120,2021
Alaska,51630,220,2021
Arizona,673882,11266,2021
Arkansas,271154,4311,2021
California,3006966,33593,2021
Colorado,376921,5454,2021
Connecticut,223422,6594,2021
Delaware,70294,1016,2021
District of Columbia,33851,850,2021
Florida,1571271,24136,2021
Georgia,791322,11906,2021
Guam,8453,128,2021
Hawaii,24309,319,2021
Idaho,155617,1609,2021
Illinois,1071307,20052,2021
Indiana,593262,9310,2021
Iowa,305151,4323,2021
Kansas,259226,3502,2021
Kentucky,329816,3428,2021
Louisiana,368980,8203,2021
Maine,33559,511,2021
Maryland,326648,6567,2021
Massachusetts,470140,13652,2021
Michigan,579767,14658,2021
Minnesota,446448,5995,2021
Mississippi,252475,5521,2021
Missouri,473268,6647,2021
Montana,89393,1092,2021
Nebraska,182914,1905,2021
Nevada,261847,3784,2021
New Hampshire,56864,933,2021
New Jersey,627221,20439,2021
New Mexico,163637,2934,2021
New York,1242818,40570,2021
North Carolina,674771,8125,2021
North Dakota,95886,1406,2021
Northern Mariana Islands,128,2,2021
Ohio,826754,10200,2021
Oklahoma,354979,2987,2021
Oregon,133205,1801,2021
Pennsylvania,772747,19310,2021
Puerto Rico,120996,1703,2021
Rhode Island,104443,2005,2021
South Carolina,388184,6237,2021
South Dakota,105544,1656,2021
Tennessee,672292,8312,2021
Texas,2125391,32747,2021
Utah,323837,1493,2021
Vermont,10057,163,2021
Virgin Islands,2260,24,2021
Virginia,439305,5729,2021
Washington,293296,3971,2021
West Virginia,108821,1776,2021
Wisconsin,568166,5907,2021
Wyoming,49363,522,2021
Alabama,424028,6121,2021
Alaska,51785,220,2021
Arizona,679282,11265,2021
Arkansas,272263,4343,2021
California,3032359,33742,2021
Colorado,378311,5462,2021
Connecticut,230125,6670,2021
Delaware,70910,1016,2021
District of Columbia,34033,857,2021
Florida,1579273,24273,2021
Georgia,796307,11967,2021
Guam,8454,129,2021
Hawaii,24424,319,2021
Idaho,155641,1609,2021
Illinois,1074719,20119,2021
Indiana,595760,9340,2021
Iowa,306082,4324,2021
Kansas,262519,3525,2021
Kentucky,331982,3462,2021
Louisiana,369951,8253,2021
Maine,33876,514,2021
Maryland,328417,6596,2021
Massachusetts,473441,13705,2021
Michigan,583202,14677,2021
Minnesota,447417,6007,2021
Mississippi,253932,5524,2021
Missouri,474403,6655,2021
Montana,89584,1093,2021
Nebraska,183228,1908,2021
Nevada,262867,3784,2021
New Hampshire,57864,933,2021
